temperature, X, Y, Z
temperature, X, Y, Z
85.00,-1.37,-1.33,-9.26
temperature, X, Y, Z
85.00,-2.31,-0.94,-9.45
temperature, X, Y, Z
85.00,-2.35,-0.39,-8.08
temperature, X, Y, Z
85.00,-2.51,0.00,-8.36
temperature, X, Y, Z
85.00,-3.14,-1.06,-8.08
temperature, X, Y, Z
85.00,0.39,-1.18,-9.02
temperature, X, Y, Z
85.00,-2.43,-1.22,-8.08
temperature, X, Y, Z
85.00,-1.53,-0.27,-8.55
temperature, X, Y, Z
85.00,-2.31,0.55,-8.28
temperature, X, Y, Z
85.00,-2.98,-0.86,-8.47
temperature, X, Y, Z
85.00,-0.20,-0.98,-10.04
temperature, X, Y, Z
85.00,-1.69,-1.37,-8.55
temperature, X, Y, Z
85.00,-4.04,-0.27,-8.16
temperature, X, Y, Z
85.00,-0.94,-0.82,-10.83
temperature, X, Y, Z
85.00,-2.00,-1.06,-7.81
temperature, X, Y, Z
85.00,-3.73,-1.06,-7.73
temperature, X, Y, Z
85.00,-3.33,-0.35,-8.39
temperature, X, Y, Z
85.00,-2.39,-1.65,-8.63
temperature, X, Y, Z
85.00,-3.14,-0.59,-7.88
temperature, X, Y, Z
85.00,-2.43,-0.35,-8.04
temperature, X, Y, Z
85.00,-3.69,-1.61,-8.12
temperature, X, Y, Z
85.00,-1.45,-1.73,-8.16
temperature, X, Y, Z
85.00,-2.51,-1.06,-8.36
temperature, X, Y, Z
85.00,-2.43,-1.22,-8.08
temperature, X, Y, Z
85.00,-2.94,-0.94,-8.55
temperature, X, Y, Z
85.00,-1.57,-1.41,-8.63
temperature, X, Y, Z
85.00,-1.14,-0.90,-9.22
temperature, X, Y, Z
85.00,-3.10,-0.04,-6.32
temperature, X, Y, Z
85.00,-0.67,-1.84,-9.57
temperature, X, Y, Z
85.00,-0.20,-2.12,-8.90
temperature, X, Y, Z
85.00,-2.08,-1.14,-9.02
temperature, X, Y, Z
85.00,-2.04,-1.18,-8.36
temperature, X, Y, Z
85.00,-2.47,-0.98,-8.04
temperature, X, Y, Z
85.00,-2.47,-0.82,-7.45
temperature, X, Y, Z
85.00,-1.69,-0.98,-8.20
temperature, X, Y, Z
85.00,-2.20,-0.75,-9.38
temperature, X, Y, Z
85.00,-3.41,-0.94,-7.57
temperature, X, Y, Z
85.00,-1.53,-0.78,-7.69
temperature, X, Y, Z
85.00,-3.06,-0.67,-8.79
temperature, X, Y, Z
85.00,-3.06,-0.82,-7.92
temperature, X, Y, Z
85.00,-2.04,-1.96,-8.00
temperature, X, Y, Z
85.00,-1.14,-0.67,-8.04
temperature, X, Y, Z
85.00,-3.37,-1.02,-8.28
temperature, X, Y, Z
85.00,-3.88,-1.14,-9.38
temperature, X, Y, Z
85.00,-3.26,-1.06,-8.63
temperature, X, Y, Z
85.00,-2.00,-0.04,-9.14
temperature, X, Y, Z
85.00,-1.29,-1.41,-9.81
temperature, X, Y, Z
85.00,-1.26,-1.18,-7.85
temperature, X, Y, Z
85.00,-2.47,-0.75,-10.08
temperature, X, Y, Z
85.00,-1.45,-0.67,-10.51
temperature, X, Y, Z
85.00,-1.49,-0.90,-7.77
temperature, X, Y, Z
85.00,-2.75,0.16,-9.57
temperature, X, Y, Z
85.00,-0.63,-1.02,-8.67
temperature, X, Y, Z
85.00,-2.20,-1.22,-6.79
temperature, X, Y, Z
85.00,-4.08,-0.51,-7.02
temperature, X, Y, Z
85.00,-2.71,-1.10,-9.14
temperature, X, Y, Z
85.00,-2.51,-1.14,-8.20
temperature, X, Y, Z
85.00,-1.57,-1.02,-7.96
temperature, X, Y, Z
85.00,-3.41,-0.43,-9.45
temperature, X, Y, Z
85.00,-0.51,-0.43,-10.32
temperature, X, Y, Z
85.00,-2.55,0.12,-9.14
temperature, X, Y, Z
85.00,-1.49,-0.86,-7.53
temperature, X, Y, Z
85.00,-2.24,-0.47,-9.41
temperature, X, Y, Z
85.00,-3.80,-1.14,-8.36
temperature, X, Y, Z
85.00,-0.90,-0.86,-9.26
temperature, X, Y, Z
85.00,-2.20,0.35,-9.26
temperature, X, Y, Z
85.00,-2.59,-0.90,-8.55
temperature, X, Y, Z
85.00,-1.49,-1.29,-8.87
temperature, X, Y, Z
85.00,-2.20,0.08,-8.79
temperature, X, Y, Z
85.00,-1.49,-1.49,-8.59
temperature, X, Y, Z
85.00,-3.88,-0.82,-7.69
temperature, X, Y, Z
85.00,-4.31,-1.02,-8.55
temperature, X, Y, Z
85.00,-4.31,-1.10,-10.08
temperature, X, Y, Z
85.00,-4.12,-1.18,-7.34
temperature, X, Y, Z
85.00,-2.55,-1.57,-10.24
temperature, X, Y, Z
85.00,-1.96,-0.63,-7.65
temperature, X, Y, Z
85.00,-1.18,-1.29,-7.69
temperature, X, Y, Z
85.00,-2.51,-1.57,-7.81
temperature, X, Y, Z
85.00,-3.06,-0.27,-8.16
temperature, X, Y, Z
85.00,-2.51,-1.41,-7.18
temperature, X, Y, Z
85.00,-1.92,-0.82,-7.77
temperature, X, Y, Z
85.00,-1.14,-1.84,-10.28
temperature, X, Y, Z
85.00,-0.82,-1.65,-8.59
temperature, X, Y, Z
85.00,-3.33,-0.43,-7.69
temperature, X, Y, Z
85.00,-1.14,-1.77,-8.63
temperature, X, Y, Z
85.00,-2.90,-0.82,-7.92
temperature, X, Y, Z
85.00,-3.02,-1.06,-7.57
temperature, X, Y, Z
85.00,-0.67,-0.94,-7.65
temperature, X, Y, Z
85.00,-0.24,-1.33,-7.88
temperature, X, Y, Z
85.00,-2.08,-0.78,-8.00
temperature, X, Y, Z
85.00,-3.06,-0.08,-8.28
temperature, X, Y, Z
85.00,-3.30,0.00,-7.88
temperature, X, Y, Z
85.00,-2.86,-0.94,-8.00
temperature, X, Y, Z
85.00,-3.84,-0.67,-7.14
temperature, X, Y, Z
85.00,-3.06,-0.63,-7.69
temperature, X, Y, Z
85.00,-2.47,-0.98,-7.81
temperature, X, Y, Z
85.00,-1.73,-2.24,-9.69
temperature, X, Y, Z
85.00,-0.39,-0.47,-8.39
temperature, X, Y, Z
85.00,-1.84,-0.94,-9.10
temperature, X, Y, Z
85.00,-1.96,-0.67,-8.12
temperature, X, Y, Z
85.00,-1.80,-0.24,-8.20
temperature, X, Y, Z
85.00,-2.51,-1.37,-8.59
temperature, X, Y, Z
85.00,-3.69,-1.22,-6.75
temperature, X, Y, Z
85.00,-1.29,-1.69,-9.53
temperature, X, Y, Z
85.00,-2.47,-1.33,-8.32
temperature, X, Y, Z
85.00,-2.51,-0.67,-8.20
temperature, X, Y, Z
85.00,-1.18,0.51,-10.04
temperature, X, Y, Z
85.00,-1.41,-1.14,-9.26
temperature, X, Y, Z
85.00,-1.77,-1.96,-8.47
temperature, X, Y, Z
85.00,-2.71,0.47,-8.28
temperature, X, Y, Z
85.00,-2.39,-0.39,-8.83
temperature, X, Y, Z
85.00,-2.43,-1.06,-7.65
temperature, X, Y, Z
85.00,-2.86,-0.59,-6.59
temperature, X, Y, Z
85.00,-0.59,-1.29,-9.38
temperature, X, Y, Z
85.00,-2.31,-0.51,-7.22
temperature, X, Y, Z
85.00,-2.75,-0.55,-9.10
temperature, X, Y, Z
85.00,-0.90,-0.78,-8.04
temperature, X, Y, Z
85.00,-2.39,-1.02,-8.55
temperature, X, Y, Z
85.00,-2.51,-1.37,-7.41
temperature, X, Y, Z
85.00,-2.63,-1.37,-9.14
temperature, X, Y, Z
85.00,-4.08,-0.31,-8.04
temperature, X, Y, Z
85.00,-0.51,-0.20,-7.81
temperature, X, Y, Z
85.00,-4.51,-0.86,-7.34
temperature, X, Y, Z
85.00,-4.63,-1.49,-8.83
temperature, X, Y, Z
85.00,-1.57,-0.63,-7.41
temperature, X, Y, Z
85.00,-1.33,-0.47,-8.20
temperature, X, Y, Z
85.00,-2.39,-0.35,-7.37
temperature, X, Y, Z
85.00,-2.86,-0.16,-7.85
temperature, X, Y, Z
85.00,-1.80,-1.65,-8.20
temperature, X, Y, Z
85.00,-1.41,-1.02,-8.55
temperature, X, Y, Z
85.00,-1.37,-1.69,-8.08
temperature, X, Y, Z
85.00,-2.39,-1.88,-7.88
temperature, X, Y, Z
85.00,-2.08,-0.27,-8.43
temperature, X, Y, Z
85.00,-2.63,-1.26,-7.45
temperature, X, Y, Z
85.00,-2.39,-2.00,-8.43
temperature, X, Y, Z
85.00,-2.31,-0.43,-7.57
temperature, X, Y, Z
85.00,-3.37,-1.84,-7.88
temperature, X, Y, Z
85.00,-1.57,0.24,-7.69
temperature, X, Y, Z
85.00,-1.45,1.14,-8.08
temperature, X, Y, Z
85.00,-2.24,-1.77,-7.53
temperature, X, Y, Z
85.00,-0.86,-0.90,-8.00
temperature, X, Y, Z
85.00,-2.51,-1.88,-8.75
temperature, X, Y, Z
85.00,-2.35,-0.08,-8.47
temperature, X, Y, Z
85.00,-1.73,-0.47,-9.92
temperature, X, Y, Z
85.00,-2.63,-1.80,-8.71
temperature, X, Y, Z
85.00,-3.33,-0.75,-7.57
temperature, X, Y, Z
85.00,-3.69,-0.59,-9.45
temperature, X, Y, Z
85.00,-1.80,-2.31,-10.08
temperature, X, Y, Z
85.00,-1.22,0.08,-7.53
temperature, X, Y, Z
85.00,-1.29,0.12,-8.39
temperature, X, Y, Z
85.00,-3.26,-0.86,-7.18
temperature, X, Y, Z
85.00,-4.16,-0.47,-7.92
temperature, X, Y, Z
85.00,-2.47,-2.00,-11.06
temperature, X, Y, Z
85.00,-1.73,0.08,-8.94
temperature, X, Y, Z
85.00,-3.92,-1.33,-7.81
temperature, X, Y, Z
85.00,0.47,0.35,-8.87
temperature, X, Y, Z
85.00,-1.92,-1.73,-10.12
temperature, X, Y, Z
85.00,-3.33,-1.45,-8.12
temperature, X, Y, Z
85.00,-0.27,-1.84,-9.34
temperature, X, Y, Z
85.00,-2.12,-1.61,-8.47
temperature, X, Y, Z
85.00,-2.28,-1.29,-8.08
temperature, X, Y, Z
85.00,-0.43,0.04,-10.08
temperature, X, Y, Z
85.00,-3.30,-1.73,-6.86
temperature, X, Y, Z
85.00,-1.18,-0.39,-6.32
temperature, X, Y, Z
85.00,-1.61,-0.31,-6.00
temperature, X, Y, Z
85.00,-2.67,-0.94,-7.22
temperature, X, Y, Z
85.00,-3.80,-1.18,-7.49
temperature, X, Y, Z
85.00,-0.90,-1.49,-8.87
temperature, X, Y, Z
85.00,-2.82,0.35,-7.57
temperature, X, Y, Z
85.00,-1.77,-0.86,-8.51
temperature, X, Y, Z
85.00,-1.69,0.35,-9.06
temperature, X, Y, Z
85.00,-2.16,-0.71,-7.96
temperature, X, Y, Z
85.00,-4.31,0.43,-7.61
temperature, X, Y, Z
85.00,-3.88,-1.33,-8.00
temperature, X, Y, Z
85.00,-0.55,-1.33,-9.61
temperature, X, Y, Z
85.00,-4.67,-0.35,-7.69
temperature, X, Y, Z
85.00,-1.57,-0.86,-7.18
temperature, X, Y, Z
85.00,-2.51,-0.24,-7.45
temperature, X, Y, Z
85.00,-4.00,-1.06,-6.12
temperature, X, Y, Z
85.00,-0.67,-1.33,-9.45
temperature, X, Y, Z
85.00,-3.73,-1.57,-7.45
temperature, X, Y, Z
85.00,-0.71,-0.75,-8.32
temperature, X, Y, Z
85.00,-1.92,-1.33,-8.08
temperature, X, Y, Z
85.00,-2.59,0.20,-9.34
temperature, X, Y, Z
85.00,-2.12,-0.86,-7.77
temperature, X, Y, Z
85.00,-2.28,0.00,-8.63
temperature, X, Y, Z
85.00,-2.43,-2.55,-8.83
temperature, X, Y, Z
85.00,-0.55,-1.10,-8.90
temperature, X, Y, Z
85.00,-3.73,-1.18,-8.08
temperature, X, Y, Z
85.00,-2.12,-0.27,-7.30
temperature, X, Y, Z
85.00,-0.67,-1.06,-8.28
temperature, X, Y, Z
85.00,-1.73,-1.33,-8.90
temperature, X, Y, Z
85.00,-1.92,1.18,-10.87
temperature, X, Y, Z
85.00,-3.49,-1.10,-7.22
temperature, X, Y, Z
85.00,-0.71,0.08,-9.45
temperature, X, Y, Z
85.00,-2.98,-0.51,-7.88
temperature, X, Y, Z
85.00,-2.59,-1.26,-8.08
temperature, X, Y, Z
85.00,-2.00,-1.84,-8.75
temperature, X, Y, Z
85.00,-0.71,-2.59,-10.36
temperature, X, Y, Z
85.00,-4.63,-1.92,-9.41
temperature, X, Y, Z
85.00,-2.71,-0.59,-9.22
temperature, X, Y, Z
85.00,-1.02,-0.12,-6.94
temperature, X, Y, Z
85.00,-4.28,0.39,-8.55
temperature, X, Y, Z
85.00,-0.35,-0.63,-9.45
temperature, X, Y, Z
85.00,-3.77,-1.61,-8.71
temperature, X, Y, Z
85.00,-2.86,-0.27,-8.36
temperature, X, Y, Z
85.00,-2.24,0.20,-7.22
temperature, X, Y, Z
85.00,-1.92,-0.39,-8.79
temperature, X, Y, Z
85.00,-1.57,-1.45,-7.61
temperature, X, Y, Z
85.00,-1.65,-2.20,-7.92
temperature, X, Y, Z
85.00,-1.84,-0.16,-12.24
temperature, X, Y, Z
85.00,-2.16,0.24,-7.06
temperature, X, Y, Z
85.00,-2.98,-0.82,-7.26
temperature, X, Y, Z
85.00,-3.88,0.82,-6.47
temperature, X, Y, Z
85.00,-0.78,-1.22,-8.98
temperature, X, Y, Z
85.00,-2.98,-0.63,-9.81
temperature, X, Y, Z
85.00,-2.12,0.12,-8.39
temperature, X, Y, Z
85.00,-2.04,-1.10,-8.63
temperature, X, Y, Z
85.00,-1.06,-1.65,-7.34
temperature, X, Y, Z
85.00,-2.35,1.57,-7.37
temperature, X, Y, Z
85.00,0.16,-0.43,-8.51
temperature, X, Y, Z
85.00,-3.06,0.51,-7.53
temperature, X, Y, Z
85.00,-3.65,-1.26,-6.94
temperature, X, Y, Z
85.00,-2.63,-0.43,-6.83
temperature, X, Y, Z
85.00,-5.02,-1.37,-6.39
temperature, X, Y, Z
85.00,-3.18,-0.90,-8.08
temperature, X, Y, Z
85.00,-1.88,-0.47,-8.75
temperature, X, Y, Z
85.00,-3.30,-0.35,-6.39
temperature, X, Y, Z
85.00,-1.92,-1.22,-8.87
temperature, X, Y, Z
85.00,-3.26,-1.22,-8.08
temperature, X, Y, Z
85.00,-2.24,-1.33,-8.90
temperature, X, Y, Z
85.00,-1.26,0.59,-9.10
temperature, X, Y, Z
85.00,-4.16,-1.53,-8.28
temperature, X, Y, Z
85.00,0.00,-0.94,-7.85
temperature, X, Y, Z
85.00,-1.33,-0.63,-9.49
temperature, X, Y, Z
85.00,-0.71,-1.10,-9.53
temperature, X, Y, Z
85.00,-2.16,-3.49,-7.88
temperature, X, Y, Z
85.00,-0.51,0.00,-9.41
temperature, X, Y, Z
85.00,-2.71,-1.14,-6.79
temperature, X, Y, Z
85.00,-0.90,-0.94,-9.26
temperature, X, Y, Z
85.00,-1.18,-0.78,-8.12
temperature, X, Y, Z
85.00,-2.04,-1.61,-9.34
temperature, X, Y, Z
85.00,-1.26,-1.41,-12.00
temperature, X, Y, Z
85.00,0.00,-0.78,-9.02
temperature, X, Y, Z
85.00,0.31,-1.84,-11.73
temperature, X, Y, Z
85.00,-3.45,-1.22,-7.53
temperature, X, Y, Z
85.00,-1.88,-1.33,-8.39
temperature, X, Y, Z
85.00,-0.59,-1.18,-7.37
temperature, X, Y, Z
85.00,-1.22,-1.57,-7.77
temperature, X, Y, Z
85.00,-1.57,-0.82,-6.47
temperature, X, Y, Z
85.00,-3.14,-1.18,-7.92
temperature, X, Y, Z
85.00,-3.18,-0.08,-7.41
temperature, X, Y, Z
85.00,-1.80,-0.94,-7.92
temperature, X, Y, Z
85.00,-0.12,-0.27,-9.73
temperature, X, Y, Z
85.00,-1.80,-0.71,-8.87
temperature, X, Y, Z
85.00,-2.98,0.04,-7.30
temperature, X, Y, Z
85.00,-1.49,0.04,-8.90
temperature, X, Y, Z
85.00,-1.41,-1.84,-8.28
temperature, X, Y, Z
85.00,-2.63,-0.71,-7.69
temperature, X, Y, Z
85.00,-2.39,-0.43,-8.51
temperature, X, Y, Z
85.00,-2.12,-0.39,-8.24
temperature, X, Y, Z
85.00,-1.80,-1.14,-7.81
temperature, X, Y, Z
85.00,-0.71,-2.28,-11.49
temperature, X, Y, Z
85.00,-3.14,-0.51,-7.85
temperature, X, Y, Z
85.00,-3.30,-0.24,-10.43
temperature, X, Y, Z
85.00,-2.04,-2.08,-8.24
temperature, X, Y, Z
85.00,-0.35,-1.49,-10.24
temperature, X, Y, Z
85.00,-1.73,0.00,-9.38
temperature, X, Y, Z
85.00,-1.88,-0.27,-7.34
temperature, X, Y, Z
85.00,-2.12,-0.94,-9.14
temperature, X, Y, Z
85.00,-3.33,-0.51,-7.45
temperature, X, Y, Z
85.00,-2.82,-0.98,-7.81
temperature, X, Y, Z
85.00,-1.77,-0.39,-8.24
temperature, X, Y, Z
85.00,-3.92,-1.22,-7.69
temperature, X, Y, Z
85.00,-3.02,-1.02,-7.69
temperature, X, Y, Z
85.00,-0.86,-1.61,-8.90
temperature, X, Y, Z
85.00,-2.47,-1.06,-8.83
temperature, X, Y, Z
85.00,-1.61,-2.04,-9.73
temperature, X, Y, Z
85.00,-2.82,-1.10,-8.00
temperature, X, Y, Z
85.00,-3.41,-0.75,-7.49
temperature, X, Y, Z
85.00,-3.10,-1.26,-8.94
temperature, X, Y, Z
85.00,-1.29,-1.26,-7.49
temperature, X, Y, Z
85.00,-3.65,-1.06,-8.87
temperature, X, Y, Z
85.00,-2.43,0.12,-7.77
temperature, X, Y, Z
85.00,-0.39,-1.45,-8.39
temperature, X, Y, Z
85.00,-2.63,-1.29,-8.71
temperature, X, Y, Z
85.00,-2.35,-1.06,-8.16
temperature, X, Y, Z
85.00,-2.59,0.00,-9.45
temperature, X, Y, Z
85.00,-4.12,-1.14,-11.06
temperature, X, Y, Z
85.00,-0.75,-0.16,-9.41
temperature, X, Y, Z
85.00,-1.26,0.24,-8.39
temperature, X, Y, Z
85.00,-0.78,-1.22,-9.10
temperature, X, Y, Z
85.00,-1.22,-0.78,-8.87
temperature, X, Y, Z
85.00,-2.28,-0.43,-7.53
temperature, X, Y, Z
85.00,-2.67,-0.59,-9.73
temperature, X, Y, Z
85.00,-2.00,-1.22,-9.22
temperature, X, Y, Z
85.00,-3.53,-0.75,-7.30
temperature, X, Y, Z
85.00,-0.86,-0.78,-9.41
temperature, X, Y, Z
85.00,-1.84,-0.67,-7.53
temperature, X, Y, Z
85.00,-3.57,-2.51,-8.28
temperature, X, Y, Z
85.00,-1.49,-2.31,-8.63
temperature, X, Y, Z
85.00,-3.18,-1.41,-7.14
temperature, X, Y, Z
85.00,-1.84,-2.12,-9.45
temperature, X, Y, Z
85.00,-0.04,-0.39,-9.30
temperature, X, Y, Z
85.00,-4.24,0.04,-7.85
temperature, X, Y, Z
85.00,-2.20,0.00,-7.49
temperature, X, Y, Z
85.00,-1.49,0.24,-10.51
temperature, X, Y, Z
85.00,-1.73,-0.51,-7.85
temperature, X, Y, Z
85.00,-4.24,-1.26,-8.36
temperature, X, Y, Z
85.00,-2.08,-0.51,-8.51
temperature, X, Y, Z
85.00,-1.80,-1.02,-7.92
temperature, X, Y, Z
85.00,-2.20,-1.22,-8.43
temperature, X, Y, Z
85.00,-2.20,-0.39,-8.00
temperature, X, Y, Z
85.00,-1.26,-2.47,-10.04
temperature, X, Y, Z
85.00,-1.65,-0.63,-9.96
temperature, X, Y, Z
85.00,-3.14,-0.82,-9.22
temperature, X, Y, Z
85.00,-2.94,-0.51,-7.37
temperature, X, Y, Z
85.00,-2.43,-0.82,-7.37
temperature, X, Y, Z
85.00,-0.20,0.04,-8.98
temperature, X, Y, Z
85.00,-1.53,-1.22,-9.30
temperature, X, Y, Z
85.00,-1.57,0.24,-7.85
temperature, X, Y, Z
85.00,-1.02,-0.39,-8.59
temperature, X, Y, Z
85.00,-1.06,-0.51,-9.30
temperature, X, Y, Z
85.00,-2.35,-0.43,-10.20
temperature, X, Y, Z
85.00,-2.90,-0.59,-7.65
temperature, X, Y, Z
85.00,-1.49,-1.14,-7.81
temperature, X, Y, Z
85.00,-0.47,-0.98,-10.04
temperature, X, Y, Z
85.00,-1.10,-1.49,-8.47
temperature, X, Y, Z
85.00,-2.00,-0.98,-8.47
temperature, X, Y, Z
85.00,-3.73,-0.71,-6.83
temperature, X, Y, Z
85.00,-1.41,-1.53,-7.26
temperature, X, Y, Z
85.00,-0.59,-1.45,-8.98
temperature, X, Y, Z
85.00,-3.45,-0.94,-7.14
temperature, X, Y, Z
85.00,-2.55,-2.04,-8.75
temperature, X, Y, Z
85.00,-0.59,-0.39,-9.45
temperature, X, Y, Z
85.00,-2.90,-0.67,-7.30
temperature, X, Y, Z
85.00,-3.18,-0.86,-7.81
temperature, X, Y, Z
85.00,-0.98,-0.86,-8.90
temperature, X, Y, Z
85.00,-2.71,-1.29,-8.04
temperature, X, Y, Z
85.00,-1.84,-0.71,-8.90
temperature, X, Y, Z
85.00,-3.26,-0.47,-7.65
temperature, X, Y, Z
85.00,-1.22,-2.39,-7.57
temperature, X, Y, Z
85.00,-2.94,-1.41,-7.06
temperature, X, Y, Z
85.00,-2.51,-0.35,-7.85
temperature, X, Y, Z
85.00,-5.10,-1.26,-7.61
temperature, X, Y, Z
85.00,-1.96,-1.26,-8.47
temperature, X, Y, Z
85.00,-0.86,-3.26,-9.18
temperature, X, Y, Z
85.00,-2.79,-1.92,-7.81
temperature, X, Y, Z
85.00,-1.92,0.08,-8.43
temperature, X, Y, Z
85.00,-3.14,-0.35,-7.10
temperature, X, Y, Z
85.00,-3.02,-0.82,-7.45
temperature, X, Y, Z
85.00,-2.63,0.08,-7.61
temperature, X, Y, Z
85.00,-2.98,-2.47,-10.47
temperature, X, Y, Z
85.00,-2.43,-1.10,-8.32
temperature, X, Y, Z
85.00,-3.57,0.00,-7.22
temperature, X, Y, Z
85.00,-3.14,-1.65,-7.53
temperature, X, Y, Z
85.00,-1.33,-1.80,-9.49
temperature, X, Y, Z
85.00,-1.14,-0.63,-7.81
temperature, X, Y, Z
85.00,-2.24,-0.63,-7.49
temperature, X, Y, Z
85.00,-2.08,0.04,-8.59
temperature, X, Y, Z
85.00,-0.43,-1.80,-10.63
temperature, X, Y, Z
85.00,-1.57,0.00,-8.00
temperature, X, Y, Z
85.00,-2.00,0.00,-8.24
temperature, X, Y, Z
85.00,-2.71,-1.61,-8.98
temperature, X, Y, Z
85.00,-1.73,-4.31,-6.90
temperature, X, Y, Z
85.00,-2.67,-1.41,-9.06
temperature, X, Y, Z
85.00,-0.82,-1.61,-7.30
temperature, X, Y, Z
85.00,1.57,-1.77,-10.98
temperature, X, Y, Z
85.00,0.98,-2.20,-10.98
temperature, X, Y, Z
85.00,-1.96,0.00,-8.32
temperature, X, Y, Z
85.00,-2.00,-0.35,-9.34
temperature, X, Y, Z
85.00,-4.51,-1.57,-7.57
temperature, X, Y, Z
85.00,-2.71,-0.71,-8.04
temperature, X, Y, Z
85.00,-1.92,-0.90,-9.65
temperature, X, Y, Z
85.00,-3.18,-1.29,-7.77
temperature, X, Y, Z
85.00,-3.41,-1.10,-7.85
temperature, X, Y, Z
85.00,-2.59,-0.75,-7.61
temperature, X, Y, Z
85.00,-3.18,-1.80,-6.79
temperature, X, Y, Z
85.00,-3.02,-0.75,-7.65
temperature, X, Y, Z
85.00,-1.96,-0.08,-7.81
temperature, X, Y, Z
85.00,-3.61,-1.80,-9.10
temperature, X, Y, Z
85.00,-2.28,-1.37,-7.34
temperature, X, Y, Z
85.00,-2.39,-1.02,-7.61
temperature, X, Y, Z
85.00,-2.94,-1.10,-7.41
temperature, X, Y, Z
85.00,-1.69,0.08,-8.90
temperature, X, Y, Z
85.00,-1.84,-0.90,-7.61
temperature, X, Y, Z
85.00,0.00,-1.41,-8.67
temperature, X, Y, Z
85.00,-3.30,-0.20,-7.96
temperature, X, Y, Z
85.00,-1.33,-0.51,-10.24
temperature, X, Y, Z
85.00,-2.51,-1.14,-8.16
temperature, X, Y, Z
85.00,-2.67,-1.18,-8.32
temperature, X, Y, Z
85.00,-1.80,0.43,-9.53
temperature, X, Y, Z
85.00,-2.63,-0.63,-8.55
temperature, X, Y, Z
85.00,-1.96,-3.02,-8.51
temperature, X, Y, Z
85.00,-2.55,-0.59,-9.38
temperature, X, Y, Z
85.00,-2.75,-0.16,-8.98
temperature, X, Y, Z
85.00,-2.28,-0.08,-8.67
temperature, X, Y, Z
85.00,-0.98,-1.14,-7.61
temperature, X, Y, Z
85.00,-3.30,-1.33,-8.16
temperature, X, Y, Z
85.00,-3.14,-1.14,-9.38
temperature, X, Y, Z
85.00,-1.57,-1.57,-10.32
temperature, X, Y, Z
85.00,-3.10,-0.39,-7.81
temperature, X, Y, Z
85.00,-2.31,-0.08,-7.45
temperature, X, Y, Z
85.00,-3.88,-1.41,-7.69
temperature, X, Y, Z
85.00,-2.71,-1.65,-7.18
temperature, X, Y, Z
85.00,-1.92,-0.31,-8.94
temperature, X, Y, Z
85.00,-4.82,-0.39,-6.75
temperature, X, Y, Z
85.00,-0.63,-1.57,-8.87
temperature, X, Y, Z
85.00,-1.57,-0.31,-6.90
temperature, X, Y, Z
85.00,-0.35,-1.53,-8.32
temperature, X, Y, Z
85.00,-2.35,-0.82,-8.59
temperature, X, Y, Z
85.00,-1.57,-2.04,-8.20
temperature, X, Y, Z
85.00,-1.73,0.24,-6.67
temperature, X, Y, Z
85.00,-3.45,-2.20,-6.67
temperature, X, Y, Z
85.00,-1.88,-0.75,-9.65
temperature, X, Y, Z
85.00,-2.55,-1.65,-8.43
temperature, X, Y, Z
85.00,-1.33,-0.55,-7.53
temperature, X, Y, Z
85.00,-0.86,-0.59,-8.79
temperature, X, Y, Z
85.00,-3.73,-0.67,-7.96
temperature, X, Y, Z
85.00,-1.33,-0.78,-8.12
temperature, X, Y, Z
85.00,-2.47,-0.63,-7.69
temperature, X, Y, Z
85.00,-1.45,-1.33,-10.04
temperature, X, Y, Z
85.00,-0.24,-1.18,-7.88
temperature, X, Y, Z
85.00,-1.92,-1.41,-7.41
temperature, X, Y, Z
85.00,-2.90,0.47,-8.28
temperature, X, Y, Z
85.00,-2.24,-1.33,-9.41
temperature, X, Y, Z
85.00,-0.75,-0.47,-8.00
temperature, X, Y, Z
85.00,-3.18,-1.53,-7.88
temperature, X, Y, Z
85.00,-1.73,-1.06,-7.96
temperature, X, Y, Z
85.00,-2.35,-2.51,-7.22
temperature, X, Y, Z
85.00,-3.30,-0.71,-7.30
temperature, X, Y, Z
85.00,-1.80,-1.18,-7.37
temperature, X, Y, Z
85.00,-1.26,-0.51,-7.57
temperature, X, Y, Z
85.00,-1.61,-1.33,-8.87
temperature, X, Y, Z
85.00,-1.06,-0.39,-8.94
temperature, X, Y, Z
85.00,-2.31,-0.59,-9.89
temperature, X, Y, Z
85.00,-1.02,-1.88,-10.04
temperature, X, Y, Z
85.00,-2.63,-1.49,-8.67
temperature, X, Y, Z
85.00,-3.84,-0.63,-7.69
temperature, X, Y, Z
85.00,-4.08,-0.98,-7.18
temperature, X, Y, Z
85.00,-3.22,-0.98,-9.30
temperature, X, Y, Z
85.00,-3.45,-0.75,-7.69
temperature, X, Y, Z
85.00,-3.06,-1.45,-8.16
temperature, X, Y, Z
85.00,-0.90,-1.69,-7.37
temperature, X, Y, Z
85.00,0.04,0.35,-8.75
temperature, X, Y, Z
85.00,-3.22,-0.51,-6.94
temperature, X, Y, Z
85.00,-3.80,-1.92,-8.24
temperature, X, Y, Z
85.00,0.08,-1.26,-9.30
temperature, X, Y, Z
85.00,-1.96,-0.67,-7.92
temperature, X, Y, Z
85.00,-2.98,-0.71,-7.53
temperature, X, Y, Z
85.00,-1.73,-1.29,-9.22
temperature, X, Y, Z
85.00,-3.45,1.37,-6.43
temperature, X, Y, Z
85.00,-1.14,-0.59,-7.77
temperature, X, Y, Z
